"","eigenvalue","variance.percent","cumulative.variance.percent"
"Dim.1",5.33780380750482,11.6039213206626,11.6039213206626
"Dim.2",3.45433880531164,7.50943218546007,19.1133535061227
"Dim.3",2.08986109845923,4.54317630099832,23.656529807121
"Dim.4",2.00887802331269,4.36712613763627,28.0236559447573
"Dim.5",1.80229083001677,3.9180235435147,31.941679488272
"Dim.6",1.76754780664895,3.84249523184553,35.7841747201175
"Dim.7",1.60988128459924,3.49974192304182,39.2839166431593
"Dim.8",1.34583469925263,2.92572760707093,42.2096442502302
"Dim.9",1.3166976748664,2.86238624970956,45.0720304999398
"Dim.10",1.25814024140663,2.73508748131876,47.8071179812586
"Dim.11",1.21143648095961,2.6335575673035,50.4406755485621
"Dim.12",1.20332059354306,2.61591433378925,53.0565898823513
"Dim.13",1.18270168560208,2.57109062087408,55.6276805032254
"Dim.14",1.14645699412432,2.49229781331374,58.1199783165391
"Dim.15",1.14324360454959,2.48531218380346,60.6052905003426
"Dim.16",1.10981852710792,2.41264897197373,63.0179394723163
"Dim.17",1.05698175277351,2.29778641907283,65.3157258913891
"Dim.18",1.02441399945973,2.22698695534722,67.5427128467364
"Dim.19",1.01974726943585,2.21684189007793,69.7595547368143
"Dim.20",1.0030533762132,2.18055081785478,71.9401055546691
"Dim.21",0.98347477279603,2.1379886365131,74.0780941911822
"Dim.22",0.966912343930283,2.10198335637017,76.1800775475524
"Dim.23",0.952592152493693,2.07085250542107,78.2509300529734
"Dim.24",0.946050270676756,2.05663102321033,80.3075610761838
"Dim.25",0.927522864872872,2.01635405407145,82.3239151302552
"Dim.26",0.88771642257904,1.92981830995443,84.2537334402096
"Dim.27",0.869357782368257,1.88990822253968,86.1436416627493
"Dim.28",0.837035078193988,1.81964147433475,87.9632831370841
"Dim.29",0.830099276941755,1.80456364552555,89.7678467826096
"Dim.30",0.780705272615366,1.69718537525079,91.4650321578604
"Dim.31",0.74787898755322,1.62582388598526,93.0908560438457
"Dim.32",0.677547816325712,1.47293003549067,94.5637860793364
"Dim.33",0.559034697550203,1.21529282076131,95.7790789000977
"Dim.34",0.499643372760361,1.08618124513122,96.8652601452289
"Dim.35",0.278017824184524,0.604386574314182,97.4696467195431
"Dim.36",0.227737527556061,0.49508158164361,97.9647283011867
"Dim.37",0.221893093024481,0.482376289183654,98.4471045903703
"Dim.38",0.199665397112176,0.434055211113425,98.8811598014837
"Dim.39",0.168897640913665,0.367168784594924,99.2483285860787
"Dim.40",0.142276894251258,0.309297596198385,99.5576261822771
"Dim.41",0.102562991370847,0.222963024719231,99.7805892069963
"Dim.42",0.036372327015059,0.0790702761196932,99.859659483116
"Dim.43",0.0336142845422471,0.0730745316135804,99.9327340147296
"Dim.44",0.0216457451549475,0.0470559677281467,99.9797899824577
"Dim.45",0.00929660806946013,0.0202100175423046,100
"Dim.46",1.19170891531075e-29,2.59067155502337e-29,100
